Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Prediction,MD Calculation,Error
C01_A01,CCCCCCC[n+]1ccn(CC)c1N.O=C([O-])[C@@H]1CCCN1,15,0.7486033519553073,1-butyl-3-methylimidazolium,L-prolinate,[ 946.5  1028.09],"700.69, 1021.13","[35.08, 0.68]"
C07_A07,Cc1ccc[n+](CCCCCCCCC(F)(F)F)c1.CC(=O)[O-],19,0.8969072164948454,N-octyl-3-methylpyridinium,acetate,[953.95 979.53],"603.44, 1056.07","[58.09, 7.25]"
C18_A18,PCCCCCCCCCCC[n+]1ccccc1.NCCCC[C@H](N)C(=O)[O-],18,0.8220338983050848,1-butylpyridinium,L-lysinate,[1049.54  990.28],"860.11, 1002.63","[22.02, 1.23]"
C01_A01,CCCCCC(CCCC)Cn1cc[n+](CN)c1.C[C@@H](O)[C@H](N)C(=O)[O-],18,0.7362637362637363,1-butyl-3-methylimidazolium,L-threoninate,[1014.39  936.81],"760.15, 1018.00","[33.45, 7.98]"
C10_A10,FCCCCCn1cc[n+](CCCCF)c1NF.CCOS(=O)(=O)[O-],18,0.6802030456852792,1-butyl-3-methylimidazolium,ethylsulfate,[1011.53 1087.45],"641.26, 1211.79","[57.74, 10.26]"
C13_A13,CCCC(P)CCCC[N+]1(C)CCCCC1.NCCCC[C@H](N)C(=O)[O-],16,0.8082191780821918,"N,N,N-triethyldodecan-1-aminium",L-lysinate,[1050.04  954.62],"824.19, 1027.49","[27.4, 7.09]"
C16_A16,CCCCn1cc[n+](C)c1NCC.C[C@@H](O)[C@H](N)C(=O)[O-],13,0.6733668341708543,1-butyl-3-methylimidazolium,L-threoninate,[ 966.44 1040.41],"632.82, 1066.45","[52.72, 2.44]"
C17_A17,CCCC[P+](CC)(CCCC)CC(S)CC.NCCCC[C@H](N)C(=O)[O-],16,0.675,tetrabutylphosphonium,L-lysinate,[1068.43 1028.81],"910.84, 977.96","[17.3, 5.2]"
C22_A22,CCCC(CC)CCn1cc[n+](C)c1C(F)(F)F.O=C([O-])C(F)(F)F,18,0.6146788990825688,1-butyl-3-methylimidazolium,trifluoroacetate,[1023.65 1054.96],"589.93, 1192.04","[73.52, 11.5]"
C24_A24,C=NC([n+]1ccn(CCCCCCC)c1)C(F)(F)F.COP(=O)([O-])OC,19,0.6118721461187214,1-butyl-3-methylimidazolium,dimethylphosphate,[1049.15 1048.14],"645.52, 1166.17","[62.53, 10.12]"
C26_A26,CCCCC(C)(CCC)CC[N+](C)(C)CC(F)(F)F.C[C@@H](O)[C@H](N)C(=O)[O-],19,0.6145833333333334,"N,N,N-triethyldodecan-1-aminium",L-threoninate,[976.51 937.31],"736.65, 1069.04","[32.56, 12.32]"
C30_A30,CCCCCCC(N)[N+](C)(CC)CCCC.C[C@@H](O)[C@H](N)C(=O)[O-],16,0.6082474226804123,"N,N,N-triethyldodecan-1-aminium",L-threoninate,[990.69 982.91],"805.99, 982.34","[22.92, 0.06]"
C43_A43,CCC[n+]1ccn(CC(C)C(N)(F)F)c1.CCOS(=O)(=O)[O-],15,0.7318435754189944,1-isobutyl-3-methylimidazolium,ethylsulfate,[1063.49 1010.43],"584.42, 1237.88","[81.97, 18.37]"
C44_A44,CCCCCC[n+]1ccn(CC(C)C)c1C(F)(F)F.CCOS(=O)(=O)[O-],19,0.6118721461187214,1-butyl-3-methylimidazolium,ethylsulfate,[1061.29 1006.36],"645.49, 1154.97","[64.42, 12.87]"
C51_A51,CCCn1cc(N=C=O)[n+](CCC)c1.CS(=O)(=O)[O-],14,0.6111111111111112,1-butyl-3-methylimidazolium,methanesulfonate,[1066.62  983.64],"496.28, 1202.08","[114.92, 18.17]"
C52_A52,CCC[N+](C)(CCO)CCCCCCS(C)(=O)=O.CC(=O)[O-],18,0.6263736263736264,"N,N,N-triethyldodecan-1-aminium",acetate,[1058.0 1030.2],"723.54, 1113.50","[46.23, 7.48]"
C01_A01,CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1.C[C@@H](O)[C@H](N)C(=O)[O-],18,0.5132743362831859,"N,N,N-triethyldodecan-1-aminium",L-threoninate,[1043.23  985.42],"1143.26, 1005.70","[8.75, 2.02]"
C06_A06,CCCC(C)CCCC([n+]1ccccc1)C(F)(F)F.CCOS(=O)(=O)[O-],19,0.532967032967033,1-butylpyridinium,ethylsulfate,[1057.96  970.89],"677.55, 1144.18","[56.14, 15.15]"
C08_A08,FC[n+]1cc(F)n(CCCOF)c1.N#CN=C=[N-],13,0.6113744075829384,1-isobutyl-3-methylimidazolium,dicyanoazanide,[1078.71  986.13],"389.04, 1276.75","[177.27, 22.76]"
C12_A12,CCCCCCNCn1cc[n+](C)c1C#N.N[C@@H](CO)C(=O)[O-],16,0.5121951219512195,triethyloctylammonium,L-serinate,[1091.8   997.82],"707.61, 1103.77","[54.29, 9.6]"
C13_A13,CCCC(C)c1cccc[n+]1C(CCP)C(F)(F)F.CCCCCCCCOS(=O)(=O)[O-],19,0.5394190871369294,1-ethyl-2-methylpyridinium,octyl sulfate,[1007.66 1014.48],"923.17, 1105.62","[9.15, 8.24]"
C17_A17,CCCCCCC[N+](C)(C)C(P)CCCC.NCCCC[C@H](N)C(=O)[O-],16,0.5714285714285714,"N,N,N-triethyldodecan-1-aminium",L-lysinate,[991.41 986.67],"804.25, 992.33","[23.27, 0.57]"
C18_A18,CCc1ccc(N=NC)c[n+]1CC(CF)C(=O)F.NCCCC[C@H](N)C(=O)[O-],18,0.5508474576271186,1-ethyl-2-methylpyridinium,L-lysinate,[1030.39  944.84],"667.22, 1162.23","[54.43, 18.7]"
C22_A22,CCCCc1cn(C)c[n+]1CCCC(CF)C(=O)O.N#CN=C=[N-],19,0.5702127659574469,1-butyl-3-methylimidazolium,dicyanoazanide,[1005.56  905.81],"564.00, 1109.42","[78.29, 18.35]"
C23_A23,CCCCNc1[nH]c(N)c[n+]1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,12,0.5118483412322274,1-butyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,[1041.1  1047.22],"556.43, 1459.54","[87.1, 28.25]"
